Area,BHK,Bathroom,Parking,Price,Per_Sqft,Locality
750.0,2,2.0,1.0,5000000,6667.0,Rohini Sector 24
950.0,2,2.0,1.0,15500000,16316.0,other
600.0,2,2.0,1.0,4200000,7000.0,Rohini Sector 24
650.0,2,2.0,1.0,6200000,9538.0,other
1300.0,4,3.0,1.0,15500000,11923.0,Rohini Sector 24
1350.0,4,3.0,1.0,10000000,7407.0,Rohini Sector 24
650.0,2,2.0,1.0,4000000,6154.0,Rohini Sector 24
985.0,3,3.0,1.0,6800000,6904.0,other
1300.0,4,4.0,1.0,15000000,11538.0,other
1100.0,3,2.0,1.0,6200000,5636.0,other
630.0,2,2.0,1.0,5500000,8730.0,Rohini Sector 24
660.0,2,2.0,1.0,5000000,7576.0,Rohini Sector 24
660.0,2,2.0,1.0,4700000,7121.0,other
1150.0,3,3.0,1.0,25000000,21739.0,other
650.0,2,2.0,1.0,6000000,9231.0,Rohini Sector 24
850.0,2,2.0,1.0,11000000,12941.0,other
900.0,3,2.0,5.0,4500000,5000.0,other
430.556,1,1.0,2.0,5300000,12310.0,other
900.0,2,2.0,1.0,10500000,11667.0,other
914.9315,2,2.0,1.0,12000000,13116.0,other
1100.0,3,3.0,1.0,7000000,6364.0,other
500.0,1,1.0,1.0,3400000,6800.0,other
2160.0,4,4.0,1.0,21000000,9722.0,other
800.0,2,2.0,1.0,15000000,18750.0,other
900.0,2,2.0,1.0,10500000,11667.0,Lajpat Nagar
1080.0,3,2.0,1.0,22500000,20833.0,Lajpat Nagar
750.0,2,2.0,1.0,13600000,18133.0,other
1450.0,3,3.0,2.0,30000000,20690.0,Lajpat Nagar 3
900.0,2,2.0,1.0,13500000,15000.0,Lajpat Nagar
810.0,2,2.0,1.0,8910000,11000.0,other
1350.0,3,4.0,1.0,25000000,18519.0,Lajpat Nagar
1710.0,3,3.0,4.0,26000000,15205.0,Lajpat Nagar 2
1650.0,3,3.0,1.0,30000000,18182.0,Lajpat Nagar
1280.0,2,2.0,1.0,12500000,9766.0,Lajpat Nagar
1260.0,3,3.0,1.0,21000000,16667.0,Lajpat Nagar 3
1130.0,2,2.0,1.0,7800000,6903.0,other
600.0,2,2.0,1.0,11500000,19167.0,Lajpat Nagar
850.0,2,2.0,1.0,11500000,13529.0,other
1500.0,3,3.0,2.0,26000000,17333.0,Lajpat Nagar 2
900.0,2,2.0,2.0,13000000,14444.0,Lajpat Nagar
1000.0,3,3.0,1.0,22000000,22000.0,Lajpat Nagar
900.0,2,2.0,1.0,15800000,17556.0,Lajpat Nagar 2
2925.0,4,4.0,2.0,57500000,19658.0,Lajpat Nagar 3
900.0,2,2.0,2.0,10000000,11111.0,other
1600.0,3,3.0,2.0,30000000,18750.0,Lajpat Nagar 3
1143.0,3,3.0,2.0,22000000,19248.0,Lajpat Nagar
1150.0,3,3.0,2.0,24000000,20870.0,Lajpat Nagar
1500.0,3,3.0,1.0,31500000,21000.0,Lajpat Nagar 3
850.0,2,2.0,1.0,14600000,17176.0,Lajpat Nagar 2
8000.0,4,5.0,1.0,240000000,30000.0,Lajpat Nagar
890.0,2,2.0,1.0,8300000,9326.0,other
1100.0,3,3.0,1.0,22500000,20455.0,Lajpat Nagar
750.0,1,1.0,2.0,4600000,6133.0,other
850.0,2,1.0,2.0,1900000,2235.0,Dwarka Sector 24
1350.0,3,2.0,1.0,5130000,3800.0,Dwarka Sector 24
1387.0,4,4.0,1.0,5890000,4247.0,Dwarka Sector 24
1050.0,3,2.0,1.0,3700000,3524.0,other
1500.0,3,2.0,1.0,17400000,11600.0,other
1200.0,3,3.0,1.0,15500000,12917.0,other
700.0,2,1.0,1.0,2400000,3429.0,Dwarka Sector 24
1700.0,3,2.0,1.0,17200000,10118.0,Dwarka
1550.0,3,2.0,2.0,14200000,9161.0,other
1400.0,3,3.0,1.0,13500000,9643.0,other
1900.0,4,4.0,1.0,30000000,15789.0,other
2160.0,4,3.0,1.0,21000000,9722.0,other
1700.0,4,3.0,1.0,20500000,12059.0,other
1850.0,3,4.0,1.0,24000000,12973.0,Dwarka
1800.0,4,2.0,1.0,16500000,9167.0,other
1620.0,3,2.0,1.0,14900000,9198.0,other
1800.0,4,3.0,1.0,19200000,10667.0,other
1540.0,3,3.0,1.0,14500000,9416.0,other
1600.0,3,3.0,1.0,15600000,9750.0,Dwarka
1400.0,3,2.0,1.0,11400000,8143.0,other
2300.0,4,4.0,1.0,31500000,13696.0,Dwarka
1560.0,3,2.0,2.0,15800000,10128.0,other
1500.0,3,3.0,2.0,16000000,10667.0,Dwarka
1540.0,3,3.0,1.0,14500000,9416.0,other
1050.0,2,2.0,1.0,10500000,10000.0,Dwarka
1800.0,3,2.0,1.0,14800000,8222.0,other
400.0,1,1.0,1.0,1850000,4625.0,other
1150.0,3,2.0,1.0,6800000,5913.0,other
1525.0,3,3.0,1.0,14200000,9311.0,other
1450.0,3,3.0,2.0,37500000,25862.0,Lajpat Nagar 3
1450.0,3,3.0,2.0,30000000,20690.0,Lajpat Nagar 3
1260.0,3,3.0,2.0,21000000,16667.0,Lajpat Nagar 3
2925.0,4,4.0,2.0,57500000,19658.0,Lajpat Nagar 3
1710.0,3,3.0,1.0,30000000,17544.0,Lajpat Nagar 3
1600.0,3,3.0,1.0,30000000,18750.0,Lajpat Nagar 3
1500.0,3,3.0,1.0,31500000,21000.0,Lajpat Nagar 3
2200.0,3,3.0,1.0,30000000,13636.0,Lajpat Nagar 3
1350.0,3,3.0,1.0,41500000,30741.0,Lajpat Nagar 3
1710.0,3,3.0,1.0,24800000,14503.0,Lajpat Nagar 3
1350.0,3,3.0,2.0,35000000,25926.0,Lajpat Nagar 3
1500.0,3,3.0,1.0,40000000,26667.0,Lajpat Nagar 3
2880.0,4,5.0,1.0,46000000,15972.0,Lajpat Nagar 3
2700.0,4,4.0,2.0,55000000,20370.0,Lajpat Nagar 3
1400.0,3,3.0,1.0,24500000,17500.0,Lajpat Nagar 3
1800.0,3,3.0,1.0,24500000,13611.0,Lajpat Nagar 3
1400.0,3,3.0,1.0,32500000,23214.0,Lajpat Nagar 3
1000.0,2,2.0,1.0,20000000,20000.0,Lajpat Nagar 3
8000.0,4,5.0,1.0,240000000,30000.0,Lajpat Nagar
1000.0,2,2.0,1.0,20000000,20000.0,Lajpat Nagar 3
1700.0,3,3.0,2.0,19000000,11176.0,Lajpat Nagar 3
1600.0,3,3.0,2.0,26000000,16250.0,Lajpat Nagar 3
1350.0,3,3.0,1.0,21000000,15556.0,Lajpat Nagar 3
1700.0,3,3.0,1.0,27500000,16176.0,Lajpat Nagar 3
1400.0,3,3.0,2.0,32500000,23214.0,Lajpat Nagar 3
1450.0,3,3.0,1.0,45000000,31034.0,Lajpat Nagar 3
1350.0,3,3.0,1.0,21000000,15556.0,Lajpat Nagar 3
1700.0,3,3.0,1.0,28000000,16471.0,Lajpat Nagar 3
1600.0,3,3.0,2.0,29500000,18438.0,Lajpat Nagar 3
800.0,2,2.0,1.0,14000000,17500.0,Lajpat Nagar 2
1710.0,3,3.0,4.0,26000000,15205.0,Lajpat Nagar 2
1350.0,2,2.0,4.0,12500000,9259.0,Lajpat Nagar 2
1500.0,3,3.0,2.0,26000000,17333.0,Lajpat Nagar 2
750.0,2,2.0,2.0,11500000,15333.0,Lajpat Nagar
850.0,2,2.0,2.0,14600000,17176.0,Lajpat Nagar 2
1575.0,3,3.0,1.0,25500000,16190.0,Lajpat Nagar 2
1675.0,3,3.0,2.0,31000000,18507.0,Lajpat Nagar 2
1350.0,3,3.0,2.0,22000000,16296.0,Lajpat Nagar 2
900.0,2,2.0,2.0,13400000,14889.0,Lajpat Nagar 2
1800.0,3,3.0,2.0,35000000,19444.0,Lajpat Nagar 2
900.0,2,2.0,2.0,11000000,12222.0,Lajpat Nagar 2
900.0,2,2.0,2.0,6300000,7000.0,Lajpat Nagar
900.0,2,2.0,2.0,12500000,13889.0,Lajpat Nagar 2
800.0,2,2.0,1.0,14500000,18125.0,Lajpat Nagar 2
1100.0,2,3.0,1.0,22500000,20455.0,Lajpat Nagar 2
810.0,2,2.0,1.0,15500000,19136.0,Lajpat Nagar 2
1500.0,3,3.0,1.0,26000000,17333.0,Lajpat Nagar 2
900.0,2,2.0,1.0,15800000,17556.0,Lajpat Nagar 2
825.0,2,2.0,1.0,15000000,18182.0,Lajpat Nagar 2
900.0,2,2.0,1.0,13000000,14444.0,Lajpat Nagar 2
875.0,2,2.0,1.0,15000000,17143.0,Lajpat Nagar 2
1350.0,3,3.0,1.0,25000000,18519.0,Lajpat Nagar 2
750.0,2,2.0,1.0,16500000,22000.0,Lajpat Nagar 2
900.0,2,2.0,1.0,10300000,11444.0,Lajpat Nagar 2
1350.0,3,3.0,1.0,26000000,19259.0,Lajpat Nagar 2
900.0,2,2.0,1.0,11000000,12222.0,Lajpat Nagar 2
1800.0,3,3.0,1.0,28500000,15833.0,Lajpat Nagar 2
900.0,2,2.0,1.0,11000000,12222.0,Lajpat Nagar 2
900.0,2,1.0,1.0,11000000,12222.0,other
900.0,3,2.0,1.0,4000000,4444.0,other
450.0,1,1.0,1.0,2000000,4444.0,other
400.0,1,1.0,1.0,2000000,5000.0,other
4050.0,6,3.0,1.0,5100000,1259.0,other
2400.0,6,4.0,1.0,6000000,2500.0,other
666.0,1,2.0,1.0,3500000,5255.0,other
1000.0,2,2.0,1.0,7600000,7600.0,other
1360.0,4,3.0,1.0,13500000,9926.0,Rohini Sector 24
1550.0,4,3.0,1.0,12500000,8065.0,Rohini Sector 24
2170.0,4,4.0,2.0,22000000,10138.0,other
950.0,3,2.0,1.0,7600000,8000.0,other
2300.0,4,4.0,1.0,20000000,8696.0,other
1300.0,4,4.0,1.0,15000000,11538.0,other
1100.0,3,2.0,1.0,6200000,5636.0,other
1030.0,3,2.0,1.0,6200000,6019.0,other
350.0,1,1.0,1.0,2300000,6571.0,other
750.0,2,2.0,1.0,5000000,6667.0,Rohini Sector 24
720.0,2,2.0,1.0,4700000,6528.0,Rohini Sector 24
800.0,2,2.0,1.0,5500000,6875.0,Rohini Sector 24
350.0,1,1.0,1.0,2000000,5714.0,Rohini Sector 24
980.0,3,2.0,1.0,7300000,7449.0,Rohini Sector 24
1600.0,4,3.0,1.0,13000000,8125.0,Rohini Sector 24
1450.0,3,3.0,1.0,11500000,7931.0,Rohini Sector 24
380.0,1,1.0,1.0,2200000,5789.0,Rohini Sector 24
680.0,2,2.0,1.0,4400000,6471.0,Rohini Sector 24
1600.0,3,3.0,1.0,13500000,8438.0,Rohini Sector 24
630.0,2,2.0,1.0,4100000,6508.0,Rohini Sector 24
1500.0,3,2.0,1.0,12000000,8000.0,Rohini Sector 24
2500.0,4,3.0,1.0,15000000,6000.0,Rohini Sector 24
2800.0,5,4.0,1.0,17500000,6250.0,Rohini Sector 24
300.0,1,1.0,1.0,1900000,6333.0,Rohini Sector 24
1295.0,3,2.0,1.0,10000000,7722.0,Rohini Sector 24
350.0,1,1.0,1.0,2400000,6857.0,Rohini Sector 24
2200.0,4,4.0,1.0,23000000,10455.0,Rohini Sector 24
2300.0,4,4.0,1.0,24500000,10652.0,Rohini Sector 24
1150.0,3,2.0,1.0,10000000,8696.0,Rohini Sector 24
4688.0,5,4.0,1.0,135000000,28797.0,Patel Nagar
750.0,2,2.0,1.0,5000000,6667.0,Rohini Sector 24
3901.0,4,4.0,1.0,93000000,23840.0,Patel Nagar
950.0,3,2.0,1.0,4370000,4600.0,Uttam Nagar
1000.0,3,2.0,1.0,4620000,4620.0,Dwarka Mor
850.0,2,1.0,1.0,1900000,2235.0,Dwarka Sector 24
2400.0,4,4.0,1.0,70000000,29167.0,other
1350.0,3,2.0,1.0,5130000,3800.0,Dwarka Sector 24
1387.0,4,4.0,1.0,5890000,4247.0,Dwarka Sector 24
976.0,2,2.0,1.0,24900000,25512.0,Okhla
1050.0,3,2.0,1.0,3700000,3524.0,other
2700.0,4,3.0,1.0,60000000,22222.0,other
1500.0,3,2.0,1.0,17400000,11600.0,other
2900.0,5,5.0,1.0,51000000,17586.0,other
5025.0,5,6.0,4.0,170000000,33831.0,other
1000.0,3,2.0,1.0,5510000,5510.0,other
1135.0,3,3.0,2.0,25000000,22026.0,Karol Bagh
2306.0,3,3.0,1.0,57000000,24718.0,Patel Nagar
850.0,2,2.0,1.0,2940000,3459.0,other
1200.0,3,3.0,1.0,15500000,12917.0,other
1700.0,3,2.0,1.0,17200000,10118.0,Dwarka
1800.0,4,3.0,2.0,55000000,30556.0,other
1100.0,2,2.0,1.0,15000000,13636.0,Vasant Kunj
22050.0,4,4.0,2.0,51000000,2313.0,other
1550.0,4,3.0,1.0,13000000,8387.0,Rohini Sector 24
1600.0,3,3.0,1.0,30000000,18750.0,other
700.0,2,2.0,1.0,2400000,3429.0,other
3510.0,4,4.0,2.0,45000000,12821.0,New Friends Colony
4500.0,4,4.0,2.0,60000000,13333.0,New Friends Colony
1800.0,4,4.0,2.0,65000000,36111.0,New Friends Colony
6000.0,5,5.0,9.0,220000000,36667.0,New Friends Colony
4300.0,4,4.0,2.0,60000000,13953.0,other
1700.0,3,3.0,2.0,38500000,22647.0,New Friends Colony
2500.0,3,3.0,2.0,50000000,20000.0,New Friends Colony
4500.0,4,4.0,2.0,75000000,16667.0,New Friends Colony
2450.0,4,4.0,2.0,70000000,28571.0,New Friends Colony
10350.0,4,7.0,3.0,160000000,15459.0,New Friends Colony
4800.0,3,4.0,1.0,85000000,17708.0,New Friends Colony
1600.0,3,3.0,2.0,40000000,25000.0,New Friends Colony
3500.0,4,4.0,2.0,90000000,25714.0,New Friends Colony
2100.0,4,5.0,2.0,56000000,26667.0,New Friends Colony
4200.0,5,5.0,2.0,135500000,32262.0,New Friends Colony
1500.0,3,3.0,2.0,60000000,40000.0,New Friends Colony
8150.0,4,5.0,4.0,170000000,20859.0,New Friends Colony
2200.0,4,4.0,2.0,50000000,22727.0,other
3500.0,4,5.0,2.0,58000000,16571.0,New Friends Colony
2070.0,3,3.0,2.0,37500000,18116.0,New Friends Colony
3500.0,3,3.0,1.0,45000000,12857.0,New Friends Colony
2000.0,4,4.0,3.0,70000000,35000.0,New Friends Colony
2800.0,6,4.0,2.0,29500000,10536.0,other
2550.0,4,4.0,1.0,60000000,23529.0,New Friends Colony
4500.0,4,4.0,2.0,70000000,15556.0,New Friends Colony
1400.0,3,3.0,2.0,50000000,35714.0,New Friends Colony
2800.0,4,5.0,2.0,75000000,26786.0,New Friends Colony
2700.0,4,4.0,2.0,52500000,19444.0,New Friends Colony
4500.0,4,4.0,2.0,55000000,12222.0,New Friends Colony
7200.0,4,4.0,2.0,120000000,16667.0,New Friends Colony
2650.0,4,4.0,2.0,75000000,28302.0,Greater Kailash
2200.0,4,4.0,2.0,47500000,21591.0,Greater Kailash
3500.0,5,5.0,1.0,70000000,20000.0,Greater Kailash
2200.0,4,4.0,2.0,47500000,21591.0,Greater Kailash
2200.0,4,4.0,1.0,40000000,18182.0,Greater Kailash
3500.0,4,4.0,3.0,85000000,24286.0,Greater Kailash
1440.0,3,3.0,3.0,26000000,18056.0,Greater Kailash
3150.0,4,4.0,3.0,35000000,11111.0,Greater Kailash
900.0,2,2.0,3.0,20000000,22222.0,Greater Kailash
3690.0,4,5.0,3.0,79000000,21409.0,Greater Kailash
1200.0,3,2.0,3.0,17000000,14167.0,Greater Kailash
4500.0,4,4.0,2.0,47500000,10556.0,Greater Kailash
2799.0,4,4.0,2.0,43000000,15363.0,Greater Kailash
1350.0,3,3.0,1.0,26000000,19259.0,Greater Kailash
1200.0,3,3.0,1.0,25000000,20833.0,Greater Kailash
2177.0,4,5.0,2.0,51000000,23427.0,Greater Kailash
1500.0,3,3.0,2.0,40000000,26667.0,Greater Kailash
1600.0,3,3.0,1.0,22500000,14062.0,Greater Kailash
4500.0,4,4.0,1.0,70000000,15556.0,Greater Kailash
2150.0,4,4.0,2.0,45000000,20930.0,Greater Kailash
2107.0,4,4.0,2.0,51100000,24252.0,Greater Kailash
1150.0,3,3.0,1.0,25500000,22174.0,Greater Kailash
1240.0,3,3.0,2.0,26500000,21371.0,Greater Kailash
1000.0,2,2.0,1.0,15000000,15000.0,Greater Kailash
4500.0,4,4.0,2.0,55000000,12222.0,Greater Kailash
1150.0,3,3.0,2.0,26000000,22609.0,Greater Kailash
2000.0,4,4.0,2.0,38000000,19000.0,Greater Kailash
4500.0,4,5.0,2.0,72500000,16111.0,Greater Kailash
3000.0,4,5.0,4.0,65000000,21667.0,Greater Kailash
1350.0,4,3.0,2.0,9500000,7037.0,other
900.0,2,2.0,1.0,4500000,5000.0,Shahdara
970.0,3,2.0,1.0,6500000,6701.0,Shahdara
1000.0,3,2.0,1.0,5650000,5650.0,Shahdara
1425.0,3,3.0,1.0,9300000,6526.0,Shahdara
1017.0,2,2.0,1.0,6500000,6391.0,Shahdara
650.0,2,2.0,1.0,5800000,8923.0,other
950.0,3,2.0,1.0,5500000,5789.0,Shahdara
750.0,2,2.0,1.0,4500000,6000.0,Shahdara
990.0,2,2.0,2.0,4100000,4141.0,Shahdara
675.0,2,1.0,1.0,3300000,4889.0,Shahdara
1350.0,4,3.0,1.0,11300000,8370.0,Shahdara
846.0,2,1.0,1.0,3300000,3901.0,Shahdara
1300.0,4,3.0,1.0,11500000,8846.0,Shahdara
900.0,3,2.0,1.0,6000000,6667.0,Shahdara
1050.0,3,2.0,1.0,9000000,8571.0,other
850.0,2,2.0,1.0,4500000,5294.0,Shahdara
1650.0,4,3.0,1.0,14000000,8485.0,Shahdara
1150.0,2,2.0,1.0,7300000,6348.0,other
495.1394,1,1.0,1.0,1900000,3837.0,Shahdara
1053.0,3,2.0,4.0,7000000,6648.0,Shahdara
750.0,1,2.0,1.0,6400000,8533.0,Shahdara
747.0,2,2.0,1.0,6500000,8701.0,Shahdara
720.0,2,1.0,1.0,4000000,5556.0,Shahdara
376.7365,1,1.0,1.0,3000000,7963.0,Shahdara
1125.0,2,2.0,1.0,5000000,4444.0,Shahdara
713.0,2,2.0,1.0,6000000,8415.0,Shahdara
360.0,1,1.0,1.0,2500000,6944.0,Shahdara
900.0,2,2.0,1.0,6500000,7222.0,Shahdara
2430.0,4,3.0,1.0,25000000,10288.0,Shahdara
2475.0,3,3.0,1.0,70000000,28283.0,Shahdara
2970.0,7,4.0,1.0,26500000,8923.0,Shahdara
2250.0,3,2.0,1.0,18500000,8222.0,Shahdara
1500.0,5,3.0,1.0,30000000,20000.0,Shahdara
1512.0,2,2.0,1.0,22000000,14550.0,Shahdara
2160.0,3,3.0,1.0,65000000,30093.0,Shahdara
700.0,2,1.0,2.0,16000000,22857.0,Shahdara
850.0,2,2.0,1.0,4500000,5294.0,Shahdara
450.0,1,2.0,1.0,2700000,6000.0,Laxmi Nagar
1000.0,3,2.0,1.0,6500000,6500.0,Laxmi Nagar
990.0,3,2.0,1.0,4000000,4040.0,Laxmi Nagar
1000.0,2,2.0,1.0,7500000,7500.0,Laxmi Nagar
900.0,3,2.0,1.0,7000000,7778.0,Laxmi Nagar
675.0,2,2.0,2.0,2400000,3556.0,Laxmi Nagar
1700.0,4,3.0,2.0,11500000,6765.0,Laxmi Nagar
387.0,1,2.0,2.0,1700000,4393.0,Laxmi Nagar
1000.0,3,3.0,1.0,12500000,12500.0,other
715.0,2,2.0,1.0,5600000,7832.0,Laxmi Nagar
600.0,2,2.0,1.0,7000000,11667.0,Laxmi Nagar
900.0,3,2.0,1.0,6000000,6667.0,Laxmi Nagar
1000.0,3,2.0,1.0,6000000,6000.0,Laxmi Nagar
950.0,3,2.0,1.0,4370000,4600.0,Uttam Nagar
1000.0,3,2.0,1.0,4620000,4620.0,Dwarka Mor
1000.0,3,2.0,1.0,5510000,5510.0,other
360.0,1,1.0,1.0,1700000,4722.0,Uttam Nagar
900.0,3,2.0,1.0,2800000,3111.0,Dwarka Mor
1200.0,4,3.0,1.0,6800000,5667.0,Dwarka Mor
1000.0,3,2.0,1.0,6200000,6200.0,Uttam Nagar
620.0,2,2.0,1.0,3100000,5000.0,Uttam Nagar
805.0,2,2.0,1.0,4000000,4969.0,Uttam Nagar
729.0,2,2.0,1.0,4800000,6584.0,other
360.0,1,1.0,1.0,2000000,5556.0,Uttam Nagar
1001.0,3,2.0,1.0,5800000,5794.0,Dwarka Mor
675.0,2,1.0,1.0,2900000,4296.0,Uttam Nagar
4688.0,5,4.0,1.0,135000000,28797.0,Patel Nagar
3901.0,4,4.0,1.0,93000000,23840.0,Patel Nagar
900.0,3,2.0,1.0,9500000,10556.0,Patel Nagar West
1680.0,4,5.0,1.0,20000000,11905.0,Patel Nagar West
900.0,2,2.0,3.0,7400000,8222.0,Patel Nagar West
2000.0,3,3.0,1.0,37500000,18750.0,Patel Nagar
2000.0,4,4.0,3.0,15000000,7500.0,Patel Nagar West
1900.0,3,3.0,1.0,55300000,29105.0,Patel Nagar
1530.0,3,3.0,2.0,26500000,17320.0,Patel Nagar
900.0,3,2.0,2.0,10400000,11556.0,Patel Nagar West
950.0,2,2.0,2.0,8000000,8421.0,Patel Nagar West
1800.0,3,3.0,2.0,27000000,15000.0,Patel Nagar
1500.0,3,3.0,2.0,19500000,13000.0,Patel Nagar West
1800.0,3,3.0,3.0,50000000,27778.0,Patel Nagar
1800.0,3,3.0,3.0,21100000,11722.0,Patel Nagar West
2306.0,3,3.0,1.0,57000000,24718.0,Patel Nagar
850.0,2,3.0,1.0,5900000,6941.0,Patel Nagar West
900.0,3,2.0,1.0,12000000,13333.0,Patel Nagar West
1800.0,3,3.0,1.0,24000000,13333.0,Patel Nagar West
1782.0,3,3.0,1.0,15000000,8418.0,Patel Nagar
900.0,2,2.0,1.0,1500000,1667.0,Patel Nagar
1500.0,3,3.0,1.0,12500000,8333.0,Patel Nagar West
2000.0,4,4.0,2.0,36500000,18250.0,other
1200.0,3,2.0,1.0,20000000,16667.0,other
